city,year,month,temp,humidity,wind
ahmedabad,1981,1,19.64121863799283,37.009032258064515,2.0719582967741936
ahmedabad,1981,2,23.457738095238092,21.58178571428571,2.017268
ahmedabad,1981,3,28.071863799283154,27.779677419354837,2.123151587096774
ahmedabad,1981,4,32.20796296296297,25.170333333333335,2.3754215466666664
ahmedabad,1981,5,34.14749103942653,40.43322580645162,3.4949875612903223
ahmedabad,1981,6,35.199444444444445,45.416666666666664,4.1597072
ahmedabad,1981,7,29.174193548387095,78.61354838709677,3.9049665032258063
ahmedabad,1981,8,27.375448028673837,85.1116129032258,3.1210602322580643
ahmedabad,1981,9,28.094074074074072,81.21700000000001,1.3974470399999999
ahmedabad,1981,10,26.50179211469534,67.4874193548387,1.293531870967742
ahmedabad,1981,11,21.234444444444442,56.532000000000004,1.6930894933333334
ahmedabad,1981,12,20.382974910394267,50.92677419354839,1.7819591225806453
ahmedabad,1982,1,20.31505376344086,43.51096774193548,2.050615741935484
ahmedabad,1982,2,22.171626984126984,32.067142857142855,2.1630349714285715
ahmedabad,1982,3,26.477240143369176,22.962580645161292,2.2373630967741933
ahmedabad,1982,4,30.955555555555556,32.965333333333334,2.4231058133333336
ahmedabad,1982,5,31.030286738351254,50.98870967741936,2.197850529032258
ahmedabad,1982,6,33.74166666666667,50.54866666666667,3.5372785066666665
ahmedabad,1982,7,31.075268817204304,65.80451612903227,3.2323876129032256
ahmedabad,1982,8,27.31810035842294,84.82741935483871,2.5841796129032257
ahmedabad,1982,9,27.51648148148148,73.47066666666666,1.76625504
ahmedabad,1982,10,29.54695340501792,45.96258064516129,1.3148744258064515
ahmedabad,1982,11,25.247407407407408,49.21933333333333,1.8993239466666667
ahmedabad,1982,12,22.075268817204304,31.828064516129032,1.7949377032258065
ahmedabad,1983,1,19.653225806451612,22.84741935483871,1.9884627612903225
ahmedabad,1983,2,21.411507936507938,23.804642857142856,2.1243979428571427
ahmedabad,1983,3,26.309677419354838,23.42774193548387,2.2745683612903225
ahmedabad,1983,4,29.917407407407406,32.18666666666667,2.7950430933333332
ahmedabad,1983,5,34.849103942652334,35.851290322580645,3.4775385806451613
ahmedabad,1983,6,35.422407407407405,43.344,3.8594453333333334
ahmedabad,1983,7,31.568279569892475,66.05290322580646,3.5320486193548386
ahmedabad,1983,8,28.081182795698926,83.8474193548387,2.9410905806451613
ahmedabad,1983,9,28.34333333333333,77.512,1.77117248
ahmedabad,1983,10,26.606810035842294,61.831935483870964,1.5357987096774195
ahmedabad,1983,11,22.249074074074073,35.815333333333335,1.6749098666666666
ahmedabad,1983,12,19.862724014336916,31.94483870967742,1.9805314064516129
ahmedabad,1984,1,18.941756272401435,25.68258064516129,2.2310180129032258
ahmedabad,1984,2,19.721072796934866,16.611724137931034,2.5641597793103448
ahmedabad,1984,3,28.82616487455197,20.403548387096773,2.184150916129032
ahmedabad,1984,4,32.919444444444444,22.645,2.593428053333333
ahmedabad,1984,5,34.62007168458781,34.87903225806452,3.4935454967741935
ahmedabad,1984,6,34.205740740740744,48.28333333333333,4.5298563199999995
ahmedabad,1984,7,30.646774193548385,64.10290322580646,3.2785336774193548
ahmedabad,1984,8,27.453225806451616,81.75225806451614,3.0430445419354837
ahmedabad,1984,9,27.287037037037035,73.256,2.08141824
ahmedabad,1984,10,26.9994623655914,45.35709677419354,1.5461815741935483
ahmedabad,1984,11,24.21833333333333,27.017333333333333,1.5630008533333333
ahmedabad,1984,12,21.481541218637993,18.78032258064516,1.996682529032258
ahmedabad,1985,1,20.439068100358423,23.440322580645162,2.232604283870968
ahmedabad,1985,2,22.513293650793653,15.990357142857144,1.9861348571428572
ahmedabad,1985,3,29.658422939068103,18.732580645161292,2.1694418580645163
ahmedabad,1985,4,31.695555555555554,30.233,2.5202625066666666
ahmedabad,1985,5,35.056272401433695,33.563870967741934,3.184655277419355
ahmedabad,1985,6,35.23425925925926,42.658,4.742945386666666
ahmedabad,1985,7,31.17025089605735,61.160322580645165,3.943758038709677
ahmedabad,1985,8,28.403763440860214,73.5,2.7262229677419354
ahmedabad,1985,9,30.304814814814815,56.00833333333333,2.3654376533333332
ahmedabad,1985,10,27.196415770609317,48.43096774193548,1.5176286967741937
ahmedabad,1985,11,24.497592592592593,37.405,1.4092190933333333
ahmedabad,1985,12,21.96469534050179,30.60967741935484,1.8454099612903225
ahmedabad,1986,1,20.09767025089606,22.60225806451613,2.0125452387096776
ahmedabad,1986,2,22.709126984126986,25.01892857142857,2.0734673142857143
ahmedabad,1986,3,27.729749103942655,21.440322580645162,2.176363767741935
ahmedabad,1986,4,32.51462962962963,25.67233333333333,2.5202625066666666
ahmedabad,1986,5,34.806272401433695,33.60064516129032,3.3352068129032255
ahmedabad,1986,6,34.0037037037037,51.35,3.7372544
ahmedabad,1986,7,30.65232974910394,64.10354838709678,3.507389316129032
ahmedabad,1986,8,29.26415770609319,65.86129032258064,2.9614236903225803
ahmedabad,1986,9,31.22574074074074,45.309333333333335,2.0274754133333333
ahmedabad,1986,10,30.15215053763441,28.65290322580645,1.6975983483870967
ahmedabad,1986,11,25.44814814814815,21.096999999999998,1.8635607466666668
ahmedabad,1986,12,19.208960573476702,23.521290322580644,2.320281806451613
ahmedabad,1987,1,21.17258064516129,26.396774193548385,2.1054141935483868
ahmedabad,1987,2,22.66547619047619,22.689642857142854,1.9519682285714286
ahmedabad,1987,3,28.087992831541218,24.57677419354839,2.10209744516129
ahmedabad,1987,4,32.02703703703704,25.882,2.6427514666666667
ahmedabad,1987,5,34.0836917562724,32.85258064516129,2.960702658064516
ahmedabad,1987,6,35.30777777777778,43.00933333333333,3.798349866666667
ahmedabad,1987,7,33.160931899641575,53.79354838709677,4.370464929032258
ahmedabad,1987,8,32.14336917562724,57.225806451612904,3.5257035354838706
ahmedabad,1987,9,31.785555555555558,50.58533333333333,2.3879386666666664
ahmedabad,1987,10,31.238709677419354,30.83709677419355,1.6177079741935485
ahmedabad,1987,11,25.664074074074072,18.723666666666666,2.15517984
ahmedabad,1987,12,21.786379928315412,29.809677419354838,2.016438812903226
ahmedabad,1988,1,22.137275985663084,21.938387096774196,1.9730326709677417
ahmedabad,1988,2,24.55057471264368,22.149655172413794,2.0304865103448275
ahmedabad,1988,3,27.593906810035843,23.932258064516127,2.1106056258064516
ahmedabad,1988,4,33.202777777777776,24.134666666666664,2.3474070400000002
ahmedabad,1988,5,35.5320788530466,35.097419354838706,3.5624761806451613
ahmedabad,1988,6,35.19444444444444,45.34766666666667,4.007117546666667
ahmedabad,1988,7,29.99964157706093,75.20838709677419,3.552525935483871
ahmedabad,1988,8,28.198566308243727,84.26225806451613,2.8549993290322577
ahmedabad,1988,9,28.704074074074075,79.58566666666667,1.9654858666666668
ahmedabad,1988,10,27.55035842293907,56.78741935483871,1.6334264774193548
ahmedabad,1988,11,24.17888888888889,36.16733333333333,1.4648010666666667
ahmedabad,1988,12,21.88010752688172,27.128709677419355,1.8283935999999998
ahmedabad,1989,1,19.330824372759857,23.468387096774194,2.034464619354839
ahmedabad,1989,2,23.395634920634922,20.12,2.1170537142857144
ahmedabad,1989,3,27.53584229390681,20.27258064516129,2.0360508903225805
ahmedabad,1989,4,31.993333333333332,20.062666666666665,2.69296896
ahmedabad,1989,5,34.791935483870965,28.593870967741935,3.296703690322581
ahmedabad,1989,6,33.39370370370371,52.73533333333333,3.8975927466666667
ahmedabad,1989,7,30.36057347670251,68.26161290322581,3.464415793548387
ahmedabad,1989,8,28.731003584229388,75.47612903225807,2.577546116129032
ahmedabad,1989,9,28.890925925925924,69.92433333333334,1.6533029333333333
ahmedabad,1989,10,28.617921146953407,40.02516129032258,1.4740783483870967
ahmedabad,1989,11,26.29407407407407,27.115333333333336,1.75105568
ahmedabad,1989,12,21.699820788530467,24.123225806451615,1.8948727741935485
ahmedabad,1990,1,22.813440860215056,21.68903225806452,1.796812387096774
ahmedabad,1990,2,23.756944444444446,29.570714285714285,2.155052114285714
ahmedabad,1990,3,26.343727598566307,22.544516129032257,2.1694418580645163
ahmedabad,1990,4,32.041666666666664,27.132,2.5093845333333333
ahmedabad,1990,5,35.74605734767025,36.91903225806452,3.6112179612903224
ahmedabad,1990,6,34.40351851851852,47.327999999999996,4.12081472
ahmedabad,1990,7,30.51362007168459,65.66451612903225,4.609270812903226
ahmedabad,1990,8,28.86075268817204,77.83258064516129,2.643736877419355
ahmedabad,1990,9,27.356296296296296,83.25833333333334,1.9827714133333332
ahmedabad,1990,10,26.71451612903226,68.10870967741936,1.3696728774193547
ahmedabad,1990,11,24.4037037037037,49.256,1.6975598933333333
ahmedabad,1990,12,21.644444444444442,40.99612903225807,1.7923419870967743
ahmedabad,1991,1,20.144802867383515,24.628064516129033,1.9166479483870966
ahmedabad,1991,2,22.90654761904762,20.717857142857145,1.9275406857142858
ahmedabad,1991,3,28.453763440860218,19.062903225806455,1.9998550709677418
ahmedabad,1991,4,32.39037037037037,24.434,2.4602101333333333
ahmedabad,1991,5,35.634946236559145,31.884193548387096,3.3255449806451614
ahmedabad,1991,6,36.032407407407405,40.617,4.04705312
ahmedabad,1991,7,30.80250896057348,68.29354838709678,3.4090405161290325
ahmedabad,1991,8,27.789247311827957,81.73483870967742,2.8079880258064516
ahmedabad,1991,9,28.846666666666668,64.23566666666666,2.0395454933333332
ahmedabad,1991,10,28.426702508960574,31.64516129032258,1.4358636387096775
ahmedabad,1991,11,25.86240740740741,27.212666666666667,1.8957476266666666
ahmedabad,1991,12,21.91648745519713,24.66032258064516,1.9379905032258065
ahmedabad,1992,1,20.893727598566308,23.706451612903226,2.0299942193548386
